Name,Self-Rating,Experiences,Last Used,First Used,TimeUsed,Media,Roles,IconSource
C#,5,"Today's C# landscape appears to be geared towards IoT and potentially web-assembly.  It is the natural predecessor of Typescript and a powerful, open-source option for cross-platform development.",11/17/2022,8/1/2013,9.25,csharp-line.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/55gu-w-IKUlF6sd8WKpDkA/KrveL5COMnCoVtBT_Apo3WsaXl6PrVjyPwK247GbIxLi084vBnJptMiN7zAc5WTXlJeVVVOOHiYia4wkb1MmpZr0tSfghpCUDjYcGn2yWAk/CSL0gqmfcTdbgJqDPiijTiEQr5zw4grIw71cusHfAWQ),".NET,IOT,Full Stack .NET Engineer",
Visual Studio Code,5,"Needing no introduction, VSCode has the deserved reputation as a flexible, customizable editor for any project in most languages.",11/17/2022,1/1/2018,4.83,visual-studio-code-1.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/Ec9gjp0AjhlJZMX4iXDBKw/sXlU5Z-URAmhBheYDpq8AqgSBstmt_saLRjurpXtU1wnkxLJ0z9u5uIB9VELyseQllVcvLtfOQuRMrfw8r6Bdv9g3_UEEJuC8zWCaRrWDvg/juvKk-hsEqlDNKsI2jTE4EmPKRaLoXr-gxEEEFFCqHw),Universal,
React,4,"I built this site entirely in React, Typescript, and Airtable!",6/1/2022,11/1/2018,3.58,react-original.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/sq8L9A4WP58nY4IPrbgwgQ/SXK5EUSYIe2NT56LANZdqzw0E3iaarjMBrz4RSFeP0d9ELgeF04E_tBq13w8plV9S3S9oSqMLZLatjT6TgRjRjh7rSgwC4rDT8rkJXxrfLo/gtaYCyz-1GwHWK-i8PVlCtCPT_i-3mYBMF1lNWKUu00),Universal,
Typescript,4,"Coming from a C# background, Typescript is a no-brainer!  From interface generics, unions and TSX, I use this superset of Javascript when the opportunity presents itself.",6/1/2022,1/1/2020,2.42,typescript-original.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/Yveo1I_zJ4ZR6n5B0023Ig/8q7X2uWLgs5VTp5YkItRG56Levpa7fmz_of20122r0a7z3Dg_KU6espw2sw8M6ZMj6gzf8LQHgyDGzrbEMBWFQKuFCvIepnBsTgaEBwqCbs/OsPgzFGfWX_-AStESEhpoBHMyX9vZqOy2PN22TuEB_A),Universal,
Mobx,3,"While familiar with the Observable pattern (and written concurrent pipelines in C#), I find mobx to be a go-to UI simple, effective state management preferable to Redux in basic use cases.",7/8/2020,10/15/2019,0.67,mobx.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/vx0X7v-u87FxAsofoL0Khw/DaPDnoy-wse1tF2YEAh1SpYu7XaUrAJlJTXoR0X1qhZ-pJ0NyyDGzxR-eSLnOMdX_zxRXyr9xByln63GA-5l7w/hEF0IGcCa6KTde8mJOXWX6ITNsUkLkM3UwS7CF_BupE),MERN,
Firebase,3,"Familiar with Firebase's authentication and basic Firestore CRUD operations, I use Firebase to get out proof-of-concepts out quickly and use it as support for long-term projects.",7/1/2020,11/1/2018,1.67,firebase-2.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/L_YX9STPEszruvNzSH8u2Q/6I_oqC-8EJ7KpZR-ta7VBu3kNNxBHgQqOpZ785cRRnGE6I5GpKga0rP3qw_HzTebIKxfII1oN6I1m0ORaTPiaIQ-pw8yd0vwOVC4fIz9Yuo/EwFPs3ZcNDFBTTRSES8G7v9-hFYAEizp2DFDUCRCsFA),Universal,
Express JS,2,"Light experience in setting up Express Routers and simple Node APIs from my SMU bootcamp, but willing to learn more.",5/15/2019,9/15/2018,0.67,express-original.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/cOzlCEdZHOisV093fcbn2Q/LBSHVO_rnzgRbr-6050iNRZ6Acir4_MPyQEs5cN1z6Ezeoc7vrMyp42P6y53NIt0JLp9zdrb9uQKsfDAoe5UR6daGqp8K-Gvc0RGckkPDl8/qcqZ102d9vbbIp1nrakUPodnqRVBZ0krKQtQUiYYAqw),MERN,
Netlify,4,"Using the Netlify and its accompanying CLI is cake, letting me build and deploy a website in minutes, choose the environments and even set up cloud functions.",7/8/2020,1/1/2020,0.50,javascript-4.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/1G3OecrCDumnkpYfLC3sWw/-Ts5YA-gPg7ocpqIuCvGKpmabAgTKwe0b44n4d_wWN1EdI2WYGiWPcQngfQeJmHo2vjGZM7K-P875gVGCBMjYFAsWsUWcv9ZN-aeAkFLdDA/UrrlfMbMAUrur4AhV94pAnal6ka4i3YrsGOqWNZhxLo),"MERN,React UI",
Chakra UI,3,"A super-simple and elegant collection of React components based on Flexbox, this library lets me create as many custom themes as I want and allow my CSS to propagate across the entire app!",7/8/2020,6/15/2020,0.00,chakra-ui.jpg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/-EIJuur_NlqGIP_gyMP90w/QRpgfLCpxKZv1r3N4oVveuN-uXp3nf2qGzxuo4dA6AqNrIh5Oe6PatwTrhDKVMAJkiEc7AWuUosx6fxv0ZYI-BFa7JT0ffI-2BM-P8i78ik/VaPlEKd-RIrlYVnRKNYXlqICmh8jlSply4iFy94jPrw),React UI,
Git,5,"Proficient at the Git CLI (Bash), efficiently merging, committing and pushing new code to any Git remote (GitHub, GitLab, Bitbucket, and TFS to name a few).  I can use them all within hours of introduction.",11/17/2022,9/15/2014,8.17,git-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/I0eSZoavflzPzojW-tcoYA/CFKxB9aJHC-B1Efhr-ZEeRN0crKRLV_cFw_2JU4AbuoA-APV41BFGjKpSKB17B98QpvCKze5QA3SxWUxD4xcXAnZUFuOQMmnFDfdf6Rgfpw/k9toKnAgEfL0Lel1c8JpLHewwMztBrqsyGk0OQ2bIno),Universal,
